"SETID","SITEID","SITENAME","ADDRESS1","ADDRESS2","ADDRESS3","ADDRESS4","PHONE1","PHONE2","CONTACT1","CONTACT2","LINKCODE","CAMPUSID"
"LIVE-16-17","049","Wolfson House","2-10 Stephenson Way","London","NW1 2HE","","","","","","049","X01"
"LIVE-16-17","056","Bentham House","4-8 Endsleigh Gardens","London","WC1H 0EG","","","","","","056","X01"
"LIVE-16-17","067","Christopher Ingold Building","20 Gordon Street","London","WC1H 0AJ","","","","","","067","X01"
"LIVE-16-17","082","Gordon St, 22 (formerly Wates House)","London","WC1H 0BJ","","","","","","","082","X01"
"LIVE-16-17","085","Bedford Way, 26","26 Bedford Way","London","WC1H 0DS","","","","","","085","X01"
"LIVE-16-17","201","Rockefeller Building","21 University Street","London","WC1E 6JJ","","","","","","201","X01"
"LIVE-16-17","121","Mill Hill - Radcliffe Observatory","553 WATFORD WAY, MILL HILL,","LONDON,","NW7 2QS","","","","","","121","X04"
"LIVE-16-17","122","Mill Hill - Fry Observatory","553 WATFORD WAY, MILL HILL,","LONDON,","NW7 2QS","","","","","","122","X04"
"LIVE-16-17","036","Henry Morley","Gower Street,","London","WC1E 6BT","","","","","","036","X01"
"LIVE-16-17","274","Inst of Orth - Teaching Centre","Brockley Hill, Stanmore","Middlesex","HA7 4LP","","","274","","","","X04"
"LIVE-16-17","212","Cruciform Building","Gower Street,","London","WC1E 6BT","","","","","","212","X01"
"LIVE-16-17","231","Wolfson Building, 27-29 Cayton St","27-29 Cayton Street","London","EC1V 9EJ","","","231","","","231","X05"
"LIVE-16-17","232","Ashton Building, 11-43, Bath St","11-43 Bath Street","London","EC1V 9EL","","","","","","232","X05"
"LIVE-16-17","MOEH","Moorfields Eye Hospital","Bath Street","","","","","233","","","","X05"
"LIVE-16-17","234","Institute of Ophthalmology Cayton St, 17-25","17-25 Cayton Street","London","EC1V 9EH","","","","","","234","X05"
"LIVE-16-17","280","Ear Institute - Gray's Inn Road, 334-336","334-336 GRAYS INN ROAD","LONDON","WC1X 8EE","","","","","","280","X05"
"LIVE-16-17","048","Gower Street, 134-136","134-136 Gower Street","London","WC1E 6BP","","","048","","","048","X01"
"LIVE-16-17","WHBLSMW","Whittington Block L, St. Mary's Wing","","","","","","225","","","","X03"
"LIVE-16-17","264","Institute of Laryngology & Otology","","","","","","264","","","","X05"
"LIVE-16-17","WHBEFAW","Whittington Blocks E&F, Archway Wing","","","","","","221","","","","X03"
"LIVE-16-17","215","Mortimer Market Centre","9-11 Mortimer Market","London","WC1E 6AU","","","215","","","","X01"
"LIVE-16-17","014","Front Lodges","Gower Street","London","WC1E 6BT","","","","","","014","X01"
"LIVE-16-17","120","Mill Hill - Wilson Observatory","553 Watford Way, Mill Hill,","London,","NW7 2QS","","","","","","120","X04"
"LIVE-16-17","Senate","Senate House","Malet Street","London","","","","","","","","X06"
"LIVE-16-17","378","Inst Neurology - Queen Square, 33","33 Queen Square","London","WC1N 3BG","","020 7837 3611","","","","378","X05"
"LIVE-16-17","MEGA","Menier Gallery","51-53 Southwark Street","London","SE1 1RU","","020 7407 3222","","","","","X06"
"LIVE-16-17","INALS","Institute of Advanced Legal Studies","Charles Clore House,17 Russell Square","London","WC1B 5DR","","020 7862 5800","","","","001","X06"
"LIVE-16-17","ULU","University of London Union ULU","Malet Street","London","WC1E 7HY","","","","","","","X06"
"LIVE-16-17","STPHW9","St. Pancras Hospital, Ward 9","Gower Street","London","WC1E 6BT","","","217","","","","X06"
"LIVE-16-17","087","Gower Street, 66-72","66-72 Gower Street","London","WC1E 6EA","","","","","","087","X01"
"LIVE-16-17","181","Birkbeck Gordon Square, 43","39-41 Gordon Square","London","WC1H 0PD","","","","","","091","X06"
"LIVE-16-17","001","Kathleen Lonsdale Building","Gower Street,","London","WC1E 6BT","","","","","","001","X01"
"LIVE-16-17","004","Slade School - North Wing","Gower Street","London","WC1E 6BT","","","004","","","004","X01"
"LIVE-16-17","029","Gordon Square, 22","22 Gordon Square","London","WC1H 0AG","","","","","","029","X01"
"LIVE-16-17","030","Gordon Square, 21","21 Gordon Square","London","WC1H 0AG","","","","","","030","X01"
"LIVE-16-17","033","Gordon Square, 19","19 Gordon Square","London","WC1H 0AG","","","","","","033","X01"
"LIVE-16-17","035","Gordon Square, 16-18","16-18 Gordon Square","London","WC1H 0AG","","","","","","035","X01"
